Places,,,,,,PoolParty URI
TRUE,,,island,,,https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56
TRUE,,,,island groups,,https://digitaalerfgoed.poolparty.biz/globalise/25b09c82-eab3-41d4-9c36-831cfc2b496c
TRUE,,,peninsula,,,https://digitaalerfgoed.poolparty.biz/globalise/422b34bb-dffe-4552-b1cd-f720d3efe4df
TRUE,,,cape,(related to point),,https://digitaalerfgoed.poolparty.biz/globalise/ea0cf4b3-3d82-4ff6-ad10-12e77f581218
TRUE,,,point,(related to cape),,https://digitaalerfgoed.poolparty.biz/globalise/50310cac-a6c2-4e9d-9162-ebaa073a9835
TRUE,,,bank,,,https://digitaalerfgoed.poolparty.biz/globalise/bd0dfde6-0fb2-476b-ad5e-2f63ed7787ff
TRUE,,,,sand bar,,https://digitaalerfgoed.poolparty.biz/globalise/b7823bf7-0cce-41d1-bfc2-851fdf414fca
TRUE,,,coast,,,https://digitaalerfgoed.poolparty.biz/globalise/42bea596-3b26-4598-a894-5922ff137c7c
TRUE,,,isthmus,,,https://digitaalerfgoed.poolparty.biz/globalise/975ea685-36be-4215-8758-2bb27ce47b18
TRUE,,,plateau,,,https://digitaalerfgoed.poolparty.biz/globalise/9701db61-cd99-447b-96e4-1194539b40df
FALSE,,,valley,,http://vocab.getty.edu/aat/300008761,https://digitaalerfgoed.poolparty.biz/globalise/9d5e6406-b7f3-4639-b601-27e111891dd7
FALSE,,,salt flat,,http://vocab.getty.edu/aat/300132351,https://digitaalerfgoed.poolparty.biz/globalise/313f2a2a-6033-4593-9a19-9bc033e1f506
FALSE,,forest,,,http://vocab.getty.edu/aat/300387598,https://digitaalerfgoed.poolparty.biz/globalise/bd9b557c-ba1e-46c7-b3cf-06a24065062a
TRUE,Regions ,,,,,https://digitaalerfgoed.poolparty.biz/globalise/06278cc4-0ec4-4376-b869-8c21bf507894
